change_id,employee_id,change_type,old_value,new_value,effective_date,request_date,processed_date,change_status
CHG-0001,EMP-0365,Compensation Change,104000,121000,2026-07-01,2026-03-06,2026-07-02,Completed
CHG-0002,EMP-0426,Manager Change,EMP-0001,EMP-0214,2025-01-23,2025-01-09,2025-01-25,Completed
CHG-0003,EMP-0919,Compensation Change,117000,129000,2026-07-01,2025-10-05,2026-07-02,Completed
CHG-0004,EMP-0346,Job Title Change,Previous Role,Senior Product Manager,2026-07-25,2026-07-15,2026-07-23,Completed
CHG-0005,EMP-0846,Job Title Change,Previous Role,Marketing Manager,2024-07-21,2024-07-05,2024-07-23,Completed
CHG-0006,EMP-0390,Job Title Change,Previous Role,Customer Success Specialist,2024-10-03,2024-09-19,2024-10-05,Completed
CHG-0007,EMP-0390,Job Title Change,Previous Role,Customer Success Specialist,2025-09-07,2025-09-05,2025-09-11,Completed
CHG-0008,EMP-0390,Department Change,Operations,Customer Success,2024-06-09,2024-05-24,2024-06-09,Completed
CHG-0009,EMP-0493,Job Title Change,Previous Role,Engineering Manager,2024-12-14,2024-11-27,2024-12-12,Completed
CHG-0010,EMP-0513,Department Change,Operations,Data & Analytics,2026-01-31,2026-01-25,2026-02-03,Completed
CHG-0011,EMP-0939,Job Title Change,Previous Role,Senior Product Manager,2026-07-22,2026-07-04,2026-07-20,Completed
CHG-0012,EMP-0012,Job Title Change,Previous Role,Product Analyst,2026-02-28,2026-02-12,2026-02-28,Completed
CHG-0013,EMP-0428,Manager Change,EMP-0001,EMP-0261,2025-11-08,2025-11-05,2025-11-07,Completed
CHG-0014,EMP-0753,Manager Change,EMP-0001,EMP-0089,2025-07-12,2025-07-10,2025-07-17,Completed
CHG-0015,EMP-0888,Department Change,Operations,Data & Analytics,2026-08-28,2026-08-20,2026-08-26,Completed
CHG-0016,EMP-0869,Department Change,Operations,Finance,2026-05-31,2026-05-11,2026-09-03,Completed
CHG-0017,EMP-0869,Compensation Change,115000,127000,2026-07-01,2025-03-28,2026-07-02,Completed
CHG-0018,EMP-0398,Department Change,Operations,Engineering,2024-04-16,2024-04-09,2024-04-20,Completed
CHG-0019,EMP-0321,Job Title Change,Previous Role,Senior Software Engineer,2025-06-03,2025-05-22,2025-06-06,Completed
CHG-0020,EMP-0986,Department Change,Operations,Legal,2024-08-04,2024-07-21,2024-08-08,Completed
CHG-0021,EMP-0131,Job Title Change,Previous Role,Marketing Analyst,2026-06-05,2026-05-23,2026-06-07,Completed
CHG-0022,EMP-0539,Department Change,Operations,Engineering,2026-03-27,2026-03-13,2026-03-27,Completed
CHG-0023,EMP-0539,Department Change,Operations,Engineering,2024-08-30,2024-08-19,2024-08-28,Completed
CHG-0024,EMP-0539,Job Title Change,Previous Role,Software Engineer,2026-06-04,2026-05-18,2026-06-02,Completed
CHG-0025,EMP-0504,Department Change,Operations,Data & Analytics,2024-08-04,2024-07-22,2024-08-09,Completed
CHG-0026,EMP-0504,Department Change,Operations,Data & Analytics,2025-08-04,2025-07-20,2025-08-03,Completed
CHG-0027,EMP-0868,Department Change,Operations,Human Resources,2024-09-02,2024-08-25,2024-09-07,Completed
CHG-0028,EMP-0399,Job Title Change,Previous Role,Senior Data Analyst,2024-12-23,2024-12-11,2024-12-23,Completed
CHG-0029,EMP-0795,Manager Change,EMP-0001,EMP-0017,2024-04-23,2024-04-08,2024-04-22,Completed
CHG-0030,EMP-0795,Compensation Change,75000,83000,2026-02-09,2026-01-20,2026-02-10,Completed
CHG-0031,EMP-0265,Manager Change,EMP-0001,EMP-0014,2025-05-07,2025-05-03,2025-05-09,Completed
CHG-0032,EMP-0265,Compensation Change,139000,149000,2026-01-13,2025-12-26,2026-01-15,Completed
CHG-0033,EMP-0977,Compensation Change,67000,72000,2024-05-30,2024-05-25,2024-05-31,Completed
CHG-0034,EMP-0977,Department Change,Operations,Information Technology,2024-09-26,2024-09-09,2024-09-26,Completed
CHG-0035,EMP-0387,Job Title Change,Previous Role,Sales Operations Analyst,2024-04-28,2024-04-26,2024-05-03,Completed
CHG-0036,EMP-0781,Compensation Change,83000,86000,2024-07-08,2024-06-21,2024-07-09,Completed
CHG-0037,EMP-0844,Compensation Change,92000,95000,2026-06-24,2026-06-19,2026-06-29,Completed
CHG-0038,EMP-0294,Department Change,Operations,Legal,2024-07-01,2024-06-24,2024-07-06,Completed
CHG-0039,EMP-0294,Job Title Change,Previous Role,Legal Operations Manager,2026-08-14,2026-07-27,2026-08-19,Completed
CHG-0040,EMP-0705,Job Title Change,Previous Role,Product Manager,2026-02-04,2026-01-19,2026-02-02,Completed
CHG-0041,EMP-0812,Compensation Change,84000,87000,2026-03-31,2026-03-29,2026-03-29,Completed
CHG-0042,EMP-0529,Compensation Change,86000,91000,2025-03-09,2025-02-26,2025-03-07,Completed
CHG-0043,EMP-0529,Department Change,Operations,Engineering,2026-05-04,2026-04-17,2026-05-06,Completed
CHG-0044,EMP-0252,Manager Change,EMP-0001,EMP-0134,2025-10-29,2025-10-26,2025-10-31,Completed
CHG-0045,EMP-0165,Job Title Change,Previous Role,Marketing Manager,2025-06-09,2025-05-29,2025-06-13,Completed
CHG-0046,EMP-0165,Department Change,Operations,Marketing,2025-08-16,2025-08-13,2025-08-14,Completed
CHG-0047,EMP-0151,Department Change,Operations,Sales,2024-12-05,2024-11-30,2024-12-04,Completed
CHG-0048,EMP-0209,Compensation Change,52000,60000,2024-11-10,2024-11-07,2024-11-15,Completed
CHG-0049,EMP-0410,Job Title Change,Previous Role,Analytics Manager,2025-12-23,2025-12-10,2025-12-21,Completed
CHG-0050,EMP-0040,Compensation Change,55000,65000,2026-03-23,2026-03-19,2026-03-22,Completed
CHG-0051,EMP-0367,Compensation Change,120000,128000,2026-06-28,2026-06-21,2026-07-02,Completed
CHG-0052,EMP-0800,Department Change,Operations,Engineering,2024-01-12,2024-01-04,2024-01-11,Completed
CHG-0053,EMP-0251,Compensation Change,110000,120000,2024-03-07,2024-03-04,2024-03-10,Completed
CHG-0054,EMP-0565,Compensation Change,142000,147000,2025-03-12,2025-02-25,2025-03-16,Completed
CHG-0055,EMP-0435,Compensation Change,92000,95000,2025-10-02,2025-09-24,2025-10-05,Completed
CHG-0056,EMP-0465,Job Title Change,Previous Role,Sales Manager,2024-04-12,2024-04-05,2024-04-13,Completed
CHG-0057,EMP-0465,Compensation Change,59000,67000,2024-10-04,2024-09-28,2024-10-02,Completed
CHG-0058,EMP-0465,Manager Change,EMP-0001,EMP-0429,2025-03-01,2025-02-20,2025-03-06,Completed
CHG-0059,EMP-0228,Compensation Change,114000,117000,2024-08-08,2024-07-24,2024-08-11,Completed
CHG-0060,EMP-0759,Job Title Change,Previous Role,Sales Operations Analyst,2025-03-03,2025-02-28,2025-03-06,Completed
CHG-0061,EMP-0759,Compensation Change,81000,91000,2025-04-13,2025-03-31,2025-04-15,Completed
CHG-0062,EMP-0671,Department Change,Operations,Human Resources,2025-11-02,2025-10-26,2025-11-02,Completed
CHG-0063,EMP-0027,Manager Change,EMP-0001,EMP-0008,2024-04-04,2024-03-26,2024-04-07,Completed
CHG-0064,EMP-0186,Department Change,Operations,Engineering,2026-03-18,2026-03-13,2026-03-22,Completed
CHG-0065,EMP-0618,Department Change,Operations,Customer Success,2025-07-17,2025-07-09,2025-07-18,Completed
CHG-0066,EMP-0954,Compensation Change,78000,81000,2024-02-21,2024-02-15,2024-02-19,Completed
CHG-0067,EMP-0954,Manager Change,EMP-0001,EMP-0438,2026-05-22,2026-05-18,2026-05-21,Completed
CHG-0068,EMP-0031,Compensation Change,122000,125000,2024-04-26,2024-04-10,2024-04-29,Completed
CHG-0069,EMP-0610,Manager Change,EMP-0001,EMP-0168,2026-08-11,2026-08-09,2026-08-10,Completed
CHG-0070,EMP-0467,Job Title Change,Previous Role,Data Analyst,2026-01-17,2026-01-04,2026-01-22,Completed
CHG-0071,EMP-0763,Manager Change,EMP-0001,EMP-0018,2025-05-18,2025-05-08,2025-05-23,Completed
CHG-0072,EMP-0586,Job Title Change,Previous Role,Senior CSM,2024-07-10,2024-06-26,2024-07-10,Completed
CHG-0073,EMP-0586,Compensation Change,110000,115000,2025-07-21,2025-07-02,2025-07-23,Completed
CHG-0074,EMP-0140,Job Title Change,Previous Role,Operations Manager,2025-08-01,2025-07-22,2025-08-01,Completed
CHG-0075,EMP-0140,Manager Change,EMP-0001,EMP-0104,2025-07-05,2025-06-26,2025-07-07,Completed
CHG-0076,EMP-0813,Job Title Change,Previous Role,Senior Financial Analyst,2024-06-14,2024-06-11,2024-06-18,Completed
CHG-0077,EMP-0275,Manager Change,EMP-0001,EMP-0094,2024-11-03,2024-10-19,2024-11-03,Completed
CHG-0078,EMP-0275,Department Change,Operations,Data & Analytics,2024-01-29,2024-01-14,2024-01-27,Completed
CHG-0079,EMP-0958,Compensation Change,139000,147000,2025-04-06,2025-03-30,2025-04-10,Completed
CHG-0080,EMP-0958,Manager Change,EMP-0001,EMP-0110,2026-07-02,2026-06-15,2026-07-05,Completed
CHG-0081,EMP-0540,Job Title Change,Previous Role,Software Engineer,2025-10-20,2025-10-17,2025-10-19,Completed
CHG-0082,EMP-0461,Compensation Change,108000,118000,2026-01-11,2025-12-24,2026-09-03,Completed
CHG-0083,EMP-0718,Job Title Change,Previous Role,Software Engineer,2025-03-30,2025-03-18,2025-03-28,Completed
CHG-0084,EMP-0718,Job Title Change,Previous Role,Software Engineer,2025-06-21,2025-06-08,2025-06-22,Completed
CHG-0085,EMP-0190,Job Title Change,Previous Role,Paralegal,2024-01-03,2023-12-23,2024-01-06,Completed
CHG-0086,EMP-0624,Compensation Change,87000,95000,2025-07-11,2025-06-29,2025-07-16,Completed
CHG-0087,EMP-0757,Department Change,Operations,Engineering,2025-04-14,2025-04-10,2025-04-19,Completed
CHG-0088,EMP-0757,Job Title Change,Previous Role,Software Engineer,2024-04-29,2024-04-22,2024-05-01,Completed
CHG-0089,EMP-0451,Manager Change,EMP-0001,EMP-0002,2024-11-09,2024-10-30,2024-11-12,Completed
CHG-0090,EMP-0451,Compensation Change,79000,84000,2025-06-16,2025-06-11,2025-06-14,Completed
CHG-0091,EMP-0437,Job Title Change,Previous Role,Customer Success Manager,2025-12-26,2025-12-14,2025-12-24,Completed
CHG-0092,EMP-0077,Manager Change,EMP-0001,EMP-0066,2026-06-08,2026-05-28,2026-06-07,Completed
CHG-0093,EMP-0077,Manager Change,EMP-0001,EMP-0066,2026-03-30,2026-03-20,2026-03-29,Completed
CHG-0094,EMP-0666,Manager Change,EMP-0001,EMP-0641,2024-10-01,2024-09-28,2024-10-01,Completed
CHG-0095,EMP-0008,Department Change,Operations,Information Technology,2024-06-15,2024-05-28,2024-06-17,Completed
CHG-0096,EMP-0498,Job Title Change,Previous Role,Customer Success Specialist,2024-04-05,2024-03-17,2024-04-10,Completed
CHG-0097,EMP-0498,Job Title Change,Previous Role,Customer Success Specialist,2024-03-10,2024-03-04,2024-03-11,Completed
CHG-0098,EMP-0498,Compensation Change,55000,58000,2026-04-04,2026-04-02,2026-04-04,Completed
CHG-0099,EMP-0378,Job Title Change,Previous Role,Operations Manager,2025-03-29,2025-03-10,2025-03-27,Completed
CHG-0100,EMP-0750,Compensation Change,147000,150000,2025-07-11,2025-06-21,2025-07-11,Completed
CHG-0101,EMP-0750,Compensation Change,140000,150000,2024-12-13,2024-11-28,2024-12-13,Completed
CHG-0102,EMP-0750,Job Title Change,Previous Role,Software Engineer,2025-02-09,2025-01-26,2025-02-11,Completed
CHG-0103,EMP-0873,Manager Change,EMP-0001,EMP-0075,2025-11-08,2025-10-26,2025-11-12,Completed
CHG-0104,EMP-0873,Department Change,Operations,Customer Success,2025-07-20,2025-07-15,2025-07-22,Completed
