document_id,employee_id,document_type,document_status,received_date,effective_date,expiration_date,last_updated_date
DOC-00001,EMP-0001,Offer Letter,Complete,2020-11-19,2020-11-24,,2022-08-26
DOC-00002,EMP-0001,I-9,Complete,2020-11-26,2020-11-24,,2025-09-16
DOC-00004,EMP-0002,Offer Letter,Complete,2019-06-23,2019-06-28,,2024-05-08
DOC-00005,EMP-0002,I-9,Complete,2019-06-29,2019-06-28,,2022-11-25
DOC-00006,EMP-0003,Offer Letter,Complete,2019-06-02,2019-06-09,,2024-10-17
DOC-00007,EMP-0003,I-9,Complete,2019-06-10,2019-06-09,,2023-03-02
DOC-00008,EMP-0004,Offer Letter,Complete,2020-04-20,2020-04-21,,2021-03-15
DOC-00009,EMP-0004,I-9,Complete,2020-04-24,2020-04-21,,2023-08-02
DOC-00010,EMP-0005,Offer Letter,Complete,2018-08-21,2018-08-28,,2020-04-22
DOC-00011,EMP-0005,I-9,Complete,2018-08-29,2018-08-28,,2023-08-20
DOC-00012,EMP-0006,Offer Letter,Complete,2022-04-28,2022-04-30,,2022-09-15
DOC-00013,EMP-0006,I-9,Complete,2022-04-30,2022-04-30,,2024-02-12
DOC-00014,EMP-0007,Offer Letter,Complete,2019-01-17,2019-01-20,,2020-04-12
DOC-00015,EMP-0007,I-9,Complete,2019-01-21,2019-01-20,,2026-06-28
DOC-00016,EMP-0008,Offer Letter,Complete,2023-04-17,2023-04-25,,2024-11-18
DOC-00017,EMP-0008,I-9,Complete,2023-04-27,2023-04-25,,2024-07-14
DOC-00018,EMP-0009,Offer Letter,Complete,2018-12-10,2018-12-17,,2026-07-22
DOC-00019,EMP-0009,I-9,Complete,2018-12-19,2018-12-17,,2020-09-21
DOC-00021,EMP-0010,Offer Letter,Complete,2022-11-03,2022-11-05,,2025-11-23
DOC-00022,EMP-0010,I-9,Complete,2022-11-06,2022-11-05,,2024-08-31
DOC-00024,EMP-0011,Offer Letter,Complete,2024-03-28,2024-04-07,,2024-12-15
DOC-00025,EMP-0011,I-9,Complete,2024-04-10,2024-04-07,,2025-11-15
DOC-00026,EMP-0012,Offer Letter,Complete,2018-12-10,2018-12-11,,2022-02-04
DOC-00027,EMP-0012,I-9,Complete,2018-12-14,2018-12-11,,2025-04-26
DOC-00028,EMP-0013,Offer Letter,Complete,2017-06-06,2017-06-10,,2024-12-25
DOC-00029,EMP-0013,I-9,Complete,2017-06-13,2017-06-10,,2019-12-23
DOC-00030,EMP-0014,Offer Letter,Complete,2025-08-15,2025-08-19,,2025-11-25
DOC-00031,EMP-0014,I-9,Complete,2025-08-19,2025-08-19,,2026-07-26
DOC-00032,EMP-0015,Offer Letter,Complete,2026-03-05,2026-03-15,,2026-08-03
