employee_id,onboarding_status,onboarding_completion_date,offboarding_status,offboarding_completion_date,payroll_status,direct_deposit_status,tax_form_status,operations_last_updated
EMP-0001,Complete,2020-11-29,Complete,2023-06-26,Active,Complete,Complete,2026-03-10
EMP-0002,Complete,2019-07-07,Not Applicable,,Active,Complete,Complete,2026-08-28
EMP-0003,Complete,2019-06-15,Not Applicable,,Active,Complete,Complete,2026-01-19
EMP-0004,Complete,2020-04-23,Not Applicable,,Active,Complete,Complete,2026-05-26
EMP-0005,Complete,2018-09-03,Not Applicable,,Active,Complete,Complete,2026-01-02
EMP-0006,Complete,2022-05-08,Not Applicable,,Active,Complete,Complete,2026-01-31
EMP-0007,Complete,2019-01-24,Not Applicable,,Active,Complete,Complete,2026-02-27
EMP-0008,Complete,2023-05-02,Not Applicable,,Active,Complete,Complete,2026-08-19
EMP-0009,Complete,2018-12-25,Complete,2022-03-09,Active,Complete,Complete,2026-03-09
EMP-0010,Complete,2022-11-12,Complete,2024-12-04,Active,Complete,Complete,2026-02-27
EMP-0011,Complete,2024-04-08,Not Applicable,,Active,Complete,Complete,2026-06-28
EMP-0012,Complete,2018-12-14,Not Applicable,,Active,Complete,Complete,2026-08-17
EMP-0013,Complete,2017-06-20,Not Applicable,,Active,Complete,Complete,2026-01-24
EMP-0014,Complete,2025-08-25,Not Applicable,,Active,Complete,Complete,2026-03-24
EMP-0015,Complete,2026-03-16,Not Applicable,,Active,Complete,Complete,2026-03-10
EMP-0016,Complete,2023-05-15,Not Applicable,,Active,Complete,Complete,2026-01-21
EMP-0017,Complete,2024-03-24,Not Applicable,,Active,Complete,Complete,2026-07-01
EMP-0018,Complete,2025-11-18,Not Applicable,,Active,Complete,Complete,2026-05-18
EMP-0019,Complete,2016-05-31,Not Applicable,,Active,Complete,Complete,2026-03-18
EMP-0020,Complete,2020-05-19,Not Applicable,,Active,Complete,Complete,2026-08-07
EMP-0021,Complete,2021-01-31,Not Applicable,,Active,Complete,Complete,2026-01-13
EMP-0022,Complete,2018-09-30,Not Started,,Inactive,Complete,Complete,2026-01-27
EMP-0023,Complete,2025-02-11,Not Applicable,,Active,Complete,Complete,2026-01-09
EMP-0024,Complete,2017-02-10,Not Applicable,,Active,Complete,Complete,2026-08-24
EMP-0025,Complete,2022-11-29,Not Applicable,,Active,Complete,Complete,2026-04-19
EMP-0026,Complete,2021-08-26,Not Started,,Inactive,Complete,Complete,2026-05-26
EMP-0027,Complete,2017-05-23,Not Applicable,,Active,Complete,Complete,2026-03-06
EMP-0028,Complete,2022-09-16,Not Applicable,,Active,Complete,Complete,2026-05-25
EMP-0029,Complete,2020-12-21,Not Started,,Inactive,Complete,Complete,2026-07-11
EMP-0030,Complete,2026-06-13,Not Applicable,,Active,Complete,Complete,2026-03-10
EMP-0031,Complete,2019-09-11,Not Applicable,,Active,Complete,Complete,2026-03-22
EMP-0032,Complete,2018-07-24,Not Applicable,,Active,Complete,Complete,2026-05-23
EMP-0033,Complete,2021-07-01,Not Applicable,,Active,Complete,Complete,2026-05-18
EMP-0034,Complete,2017-08-05,Not Applicable,,Active,Complete,Complete,2026-04-18
EMP-0035,Complete,2023-08-12,Not Applicable,,Active,Complete,Complete,2026-06-27
EMP-0036,Complete,2022-02-17,Complete,2025-05-01,Inactive,Complete,Complete,2026-05-23
EMP-0037,Complete,2020-06-29,Complete,2021-02-17,Inactive,Complete,Complete,2026-03-23
EMP-0038,Complete,2017-01-03,Not Applicable,,Active,Complete,Complete,2026-07-08
EMP-0039,Complete,2026-01-24,Not Applicable,,Active,Complete,Complete,2026-05-19
EMP-0040,Complete,2019-04-23,Not Applicable,,Active,Complete,Complete,2026-06-12
EMP-0041,Complete,2025-06-27,Complete,2026-04-25,Inactive,Complete,Complete,2026-01-19
EMP-0042,Complete,,Not Applicable,,Active,Complete,Complete,2026-06-12
EMP-0043,Complete,2024-07-02,Not Applicable,,Active,Complete,Complete,2026-04-29
EMP-0044,Complete,2021-02-08,Complete,2023-11-08,Inactive,Complete,Complete,2026-01-23
EMP-0045,Complete,2018-05-07,Complete,2022-11-28,Inactive,Complete,Complete,2026-05-20
EMP-0046,Complete,2024-02-09,Not Applicable,,Active,Complete,Complete,2026-04-13
EMP-0047,Complete,2022-04-16,Complete,2023-03-30,Inactive,Complete,Complete,2026-08-04
EMP-0048,Complete,2018-05-13,Not Applicable,,Active,Complete,Complete,2026-01-27
EMP-0049,Complete,2019-12-21,Not Applicable,,Active,Complete,Pending,2026-05-20
EMP-0050,Complete,2021-10-07,Not Applicable,,Active,Complete,Complete,2026-08-18
EMP-0051,Complete,2022-12-19,Not Applicable,,Active,Complete,Complete,2026-04-01
EMP-0052,Complete,2025-09-05,Not Applicable,,Active,Complete,Complete,2026-06-01
EMP-0053,Complete,2017-03-29,Not Applicable,,Active,Complete,Complete,2026-08-05
EMP-0054,Complete,2024-08-02,Not Applicable,,Active,Complete,Complete,2026-05-12
EMP-0055,Complete,2021-01-13,Complete,2025-09-26,Inactive,Complete,Complete,2026-01-26
EMP-0056,Complete,2017-10-30,Not Applicable,,Active,Complete,Complete,2026-03-25
EMP-0057,Complete,2026-01-02,Not Applicable,,Active,Complete,Complete,2026-07-30
EMP-0058,Complete,2020-06-22,Complete,2020-10-09,Inactive,Complete,Complete,2026-07-12
EMP-0059,Complete,2024-07-06,Not Applicable,,Active,Complete,Complete,2026-05-02
EMP-0060,Complete,2022-07-09,Not Applicable,,Active,Complete,Complete,2026-06-19
EMP-0061,Complete,2018-01-20,Complete,2019-02-27,Inactive,Complete,Complete,2026-07-06
EMP-0062,Complete,2023-12-04,Not Applicable,,Active,Complete,Complete,2026-04-09
EMP-0063,Complete,2016-09-22,Not Applicable,,Active,Complete,Complete,2026-02-04
EMP-0064,Complete,2016-06-23,Not Applicable,,Active,Complete,Complete,2026-07-26
EMP-0065,Complete,2022-11-02,Not Applicable,,Active,Complete,Complete,2026-02-27
EMP-0066,Complete,2024-05-18,Not Applicable,,Active,Complete,Pending,2026-01-11
EMP-0067,Complete,2025-07-07,Not Applicable,,Active,Complete,Complete,2026-01-04
EMP-0068,Complete,2024-03-03,Not Applicable,,Active,Complete,Complete,2026-07-24
EMP-0069,Complete,2016-09-08,Not Applicable,,Active,Complete,Complete,2026-08-01
EMP-0070,Complete,2026-05-25,Not Applicable,,Active,Complete,Complete,2026-02-02
EMP-0071,Complete,2019-02-11,Not Applicable,,Active,Complete,Complete,2026-01-02
EMP-0072,Complete,2023-04-15,Not Applicable,,Active,Complete,Complete,2026-02-12
EMP-0073,Complete,2026-05-11,Not Applicable,,Active,Complete,Complete,2026-04-01
EMP-0074,Complete,2018-05-16,Not Applicable,,Active,Complete,Complete,2026-04-19
EMP-0075,Complete,2020-08-23,Not Applicable,,Active,Complete,Complete,2026-04-24
EMP-0076,Complete,2016-02-14,Not Applicable,,Active,Complete,Complete,2026-03-18
EMP-0077,Complete,2020-08-16,Not Applicable,,Active,Complete,Complete,2026-06-29
EMP-0078,Complete,2025-11-25,Complete,2026-02-13,Inactive,Complete,Complete,2026-05-17
EMP-0079,Complete,2017-05-28,Not Applicable,,Active,Complete,Complete,2026-03-01
EMP-0080,Complete,2024-12-28,Not Applicable,,Active,Complete,Complete,2026-05-23
EMP-0081,Complete,2017-05-28,Not Applicable,,Active,Complete,Complete,2026-06-27
EMP-0082,Complete,2019-05-18,Not Applicable,,Active,Complete,Complete,2026-03-07
EMP-0083,Complete,2017-11-21,Not Applicable,,Active,Complete,Complete,2026-03-09
EMP-0084,Complete,2022-02-05,Not Applicable,,Active,Complete,Complete,2026-03-27
EMP-0085,Complete,2019-02-02,Not Applicable,,Active,Complete,Complete,2026-04-30
EMP-0086,Complete,2016-08-26,Not Applicable,,Active,Complete,Complete,2026-02-12
EMP-0087,Complete,2025-09-10,Not Applicable,,Active,Complete,Complete,2026-07-31
EMP-0088,Complete,2024-09-02,Not Applicable,,Active,Complete,Complete,2026-01-17
EMP-0089,Complete,2021-01-17,Not Applicable,,Active,Complete,Pending,2026-06-13
EMP-0090,Complete,2019-06-28,Not Applicable,,Active,Complete,Complete,2026-04-24
EMP-0091,Complete,2023-01-28,Not Applicable,,Active,Complete,Complete,2026-01-03
EMP-0092,Complete,2019-04-28,Not Applicable,,Active,Complete,Complete,2026-07-13
EMP-0093,Complete,2017-05-04,Not Applicable,,Active,Complete,Complete,2026-07-02
EMP-0094,Complete,2023-10-04,Not Applicable,,Active,Complete,Complete,2026-06-27
EMP-0095,Complete,2016-10-14,Not Applicable,,Active,Complete,Complete,2026-07-01
EMP-0096,Complete,2017-07-20,Not Applicable,,Active,Complete,Complete,2026-02-08
EMP-0097,Complete,2023-01-16,Complete,2026-02-25,Inactive,Complete,Complete,2026-06-24
EMP-0098,Complete,2016-08-27,Not Applicable,,Active,Complete,Complete,2026-04-26
EMP-0099,Complete,2018-03-21,Not Applicable,,Active,Complete,Complete,2026-03-03
EMP-0100,Complete,2020-12-02,Not Applicable,,Active,Complete,Complete,2026-04-04
EMP-0101,Complete,2021-02-20,Not Applicable,,Active,Complete,Complete,2026-03-15
EMP-0102,Complete,2016-01-09,Not Applicable,,Active,Complete,Complete,2026-04-07
EMP-0103,Complete,2021-03-17,Not Applicable,,Active,Complete,Complete,2026-07-24
EMP-0104,Complete,2018-01-16,Not Applicable,,Active,Complete,Complete,2026-08-24
EMP-0105,Complete,2023-10-04,Not Applicable,,Active,Complete,Complete,2026-05-21
EMP-0106,Complete,2023-05-14,Not Applicable,,Active,Complete,Complete,2026-05-19
EMP-0107,Complete,2023-09-23,Not Applicable,,Active,Complete,Complete,2026-02-07
EMP-0108,Complete,2016-12-06,Not Applicable,,Active,Complete,Complete,2026-02-07
EMP-0109,Complete,2017-05-14,Not Applicable,,Active,Complete,Complete,2026-06-03
EMP-0110,Complete,2017-02-06,Not Applicable,,Active,Complete,Complete,2026-04-06
EMP-0111,Complete,2016-08-26,Not Applicable,,Active,Complete,Complete,2026-06-12
EMP-0112,Complete,2025-12-25,Not Applicable,,Active,Complete,Complete,2026-05-08
EMP-0113,Complete,2016-03-27,Not Applicable,,Active,Complete,Complete,2026-07-09
EMP-0114,Complete,2025-03-02,Not Applicable,,Active,Complete,Complete,2026-02-19
EMP-0115,Complete,2022-05-30,Not Applicable,,Active,Complete,Complete,2026-08-19
EMP-0116,Complete,2018-05-05,Not Applicable,,Active,Complete,Complete,2026-08-17
EMP-0117,Complete,2025-05-30,Complete,2025-08-29,Inactive,Complete,Complete,2026-07-29
EMP-0118,Complete,2020-08-17,Not Applicable,,Active,Complete,Complete,2026-06-19
EMP-0119,Complete,2019-11-26,Not Applicable,,Active,Complete,Complete,2026-04-04
EMP-0120,Complete,2022-09-19,Not Applicable,,Active,Pending,Complete,2026-01-30
EMP-0121,Complete,2019-10-01,Not Applicable,,Active,Complete,Complete,2026-03-19
EMP-0122,Complete,2022-10-25,Complete,2025-05-13,Inactive,Complete,Pending,2026-06-22
EMP-0123,Complete,2019-06-06,Complete,2022-04-11,Inactive,Complete,Complete,2026-01-13
EMP-0124,Complete,2023-02-15,Not Applicable,,Active,Complete,Complete,2026-03-10
EMP-0125,Complete,2018-06-28,Not Applicable,,Active,Complete,Complete,2026-08-18
EMP-0126,Complete,2022-05-29,Not Applicable,,Active,Complete,Complete,2026-01-20
EMP-0127,Complete,2021-07-22,Not Applicable,,Active,Complete,Complete,2026-03-10
EMP-0128,Complete,2018-09-19,Complete,2026-04-28,Inactive,Complete,Complete,2026-01-15
EMP-0129,Complete,2021-06-15,Not Applicable,,Active,Complete,Complete,2026-02-10
EMP-0130,Complete,2024-11-03,Not Applicable,,Active,Complete,Complete,2026-08-25
EMP-0131,Complete,2021-07-06,Not Applicable,,Active,Complete,Complete,2026-04-19
EMP-0132,Complete,2024-10-10,Not Applicable,,Active,Complete,Complete,2026-03-15
EMP-0133,Complete,2024-03-28,Complete,2026-05-31,Inactive,Complete,Complete,2026-05-12
EMP-0134,Complete,2018-09-06,Not Applicable,,Active,Complete,Complete,2026-06-20
EMP-0135,Complete,2024-12-04,Not Applicable,,Active,Complete,Complete,2026-03-30
EMP-0136,Complete,2016-09-05,Not Applicable,,Active,Complete,Complete,2026-07-16
EMP-0137,Complete,2021-02-24,Not Applicable,,Active,Complete,Complete,2026-06-03
EMP-0138,Complete,2019-11-25,Not Applicable,,Active,Complete,Complete,2026-06-16
